fluid_id,height_cm,time_min,concentration,ROA,adensante,dens_susp,dens_solids,teor_solids,dp_medio,m,n
7,16.0,13.0,0.16405782407807942,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,14.0,0.16442709441521017,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,15.0,0.16570311594702128,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,16.0,0.16649480205127776,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,19.0,0.1647502368865791,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,20.0,0.1641491148610805,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,21.0,0.1666403293875309,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,22.0,0.1658266812767433,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,23.0,0.16527630809622118,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,26.0,0.16714750352598431,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,27.0,0.16653265654457447,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,28.0,0.16583193634128637,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,29.0,0.16645181104965606,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,33.0,0.16705764509894075,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,34.0,0.1673076304727907,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,35.0,0.16616475245758203,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,36.0,0.16505304477130162,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,37.0,0.1676309189881585,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,40.0,0.16719813331624955,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,41.0,0.16736344622149288,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,42.0,0.1659558744994042,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,43.0,0.1696441949814719,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,44.0,0.16753640868649233,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,47.0,0.16898890161676838,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,48.0,0.16906843557729592,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,49.0,0.16763230765794587,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,16.0,50.0,0.1694238046757106,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,1.0,0.11737643545501852,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,2.0,0.14376859762787272,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,3.0,0.04613717757074664,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,5.0,0.0019465090200693853,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,6.0,0.0020719561060466023,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,7.0,0.0017838813242384737,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,8.0,0.0007722774564136238,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,9.0,0.002107918460033309,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,10.0,0.0026630445379903223,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,12.0,0.002680832544438129,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,13.0,0.002386938897816435,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,14.0,0.0027390512590142416,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,15.0,0.0025222691750336566,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,16.0,0.002855515298919347,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,19.0,0.0024975314781162513,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,20.0,0.0028154722302700212,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,21.0,0.002829241912207823,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,22.0,0.0029988388497976942,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,23.0,0.0027407691266916,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,26.0,0.0025874000013925997,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,27.0,0.0027480179706131946,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,28.0,0.0028444751599411328,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,29.0,0.003099379161312239,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,33.0,0.0026214114382757682,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,34.0,0.0024843888012499754,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
7,18.0,35.0,0.0028156898688697237,0.0,1.0,1.582,3.669,0.246,26.99,4.964,0.294
